work_id,doi,title,year,cited_by_count,cited_by_api_url
https://openalex.org/W2947753446,https://doi.org/10.1080/15732479.2019.1620789,Development of a bridge maintenance system for prestressed concrete bridges using 3D digital twin model,2019,272,
https://openalex.org/W2017224783,https://doi.org/10.1016/j.engstruct.2004.07.011,Static behavior of large stud shear connectors,2004,233,
https://openalex.org/W2321270117,https://doi.org/10.1021/cm504558g,Ultrathin Atomic Layer Deposited TiO<sub>2</sub> for Surface Passivation of Hydrothermally Grown 1D TiO<sub>2</sub> Nanorod Arrays for Efficient Solid-State Perovskite Solar Cells,2015,179,
https://openalex.org/W2073605666,https://doi.org/10.1016/j.jcsr.2005.01.007,Static and fatigue behavior of large stud shear connectors for steel–concrete composite bridges,2005,168,
https://openalex.org/W2193619089,https://doi.org/10.1039/c5nr07395b,In situ processed gold nanoparticle-embedded TiO<sub>2</sub>nanofibers enabling plasmonic perovskite solar cells to exceed 14% conversion efficiency,2015,160,
https://openalex.org/W845068382,https://doi.org/10.1038/srep11424,Highly porous Zinc Stannate (Zn2SnO4) nanofibers scaffold photoelectrodes for efficient methyl ammonium halide perovskite solar cells,2015,134,
https://openalex.org/W1598298067,https://doi.org/10.1038/am.2015.86,Highly stable and efficient solid-state solar cells based on methylammonium lead bromide (CH3NH3PbBr3) perovskite quantum dots,2015,133,
https://openalex.org/W1971637512,https://doi.org/10.1038/srep03004,Surfactant free most probable TiO2 nanostructures via hydrothermal and its dye sensitized solar cell properties,2013,108,
https://openalex.org/W2939660190,https://doi.org/10.1016/j.jmrt.2019.02.010,Equivalent material model of corroded prestressing steel strand,2019,98,
https://openalex.org/W3195577699,https://doi.org/10.1108/ci-04-2021-0069,BIM-based mixed-reality application for bridge inspection and maintenance,2021,86,
https://openalex.org/W2559919672,https://doi.org/10.1016/j.engstruct.2016.11.070,Experiments on prefabricated segmental bridge piers with continuous longitudinal reinforcing bars,2016,64,
https://openalex.org/W4390377736,https://doi.org/10.1016/j.engstruct.2023.117383,Prescriptive maintenance of prestressed concrete bridges considering digital twin and key performance indicator,2023,38,
https://openalex.org/W4391804846,https://doi.org/10.1016/j.autcon.2024.105338,BIM-based preassembly analysis for design for manufacturing and assembly of prefabricated bridges,2024,38,
https://openalex.org/W2015053458,https://doi.org/10.1016/j.engstruct.2008.07.005,Experimental evaluation of seismic performance of precast segmental bridge piers with a circular solid section,2008,103,
https://openalex.org/W2030810864,https://doi.org/10.1016/s0143-974x(00)00018-3,Design of shear connection in composite steel and concrete bridges with precast decks,2001,91,
https://openalex.org/W2081855053,https://doi.org/10.1016/j.proeng.2011.07.010,Application of 3D Bridge Information Modeling to Design and Construction of Bridges,2011,75,
https://openalex.org/W2474936969,https://doi.org/10.1039/c6ta04726b,Reduced graphene oxide (rGO) grafted zinc stannate (Zn<sub>2</sub>SnO<sub>4</sub>) nanofiber scaffolds for highly efficient mixed-halide perovskite solar cells,2016,70,
